accession	seq_len	N_count	nearest_clade	dist_to_nearest_clade
EPI_ISL_520981	29623	0	20B-2	0
EPI_ISL_519778	29623	0	20B-2	0
EPI_ISL_518968	29623	0	20B-2	0
EPI_ISL_518967	29623	0	20B-2	0
EPI_ISL_518470	29623	0	20B-2	0
EPI_ISL_520901	29623	0	20B-2	0
EPI_ISL_520907	29623	0	20B-2	0
EPI_ISL_519004	29623	0	20B-2	0
EPI_ISL_519003	29623	0	20B-2	0
EPI_ISL_519693	29623	0	20B-2	0
EPI_ISL_519696	29623	0	20B-2	0
EPI_ISL_519698	29623	0	20B-2	0
EPI_ISL_519699	29623	0	20B-2	0
EPI_ISL_521118	29623	0	20B-2	0
EPI_ISL_521696	29623	0	20B-2	0
EPI_ISL_520994	29623	0	20B-2	0
EPI_ISL_518913	29623	0	20B-2	0
EPI_ISL_518603	29623	0	20B-2	0
EPI_ISL_518914	29623	0	20B-2	0
EPI_ISL_565327	29623	0	20B-2	0
EPI_ISL_520344	29623	0	20B-2	0
EPI_ISL_519179	29623	0	20B-2	0
EPI_ISL_519076	29623	0	20B-2	0
EPI_ISL_519077	29623	0	20B-2	0
EPI_ISL_519114	29623	0	20B-2	0
EPI_ISL_563683	29623	0	20B-2	0
EPI_ISL_518756	29623	0	20B-2	0
EPI_ISL_520513	29623	0	20B-2	0
EPI_ISL_520512	29623	0	20B-2	0
EPI_ISL_522001	29623	0	20B-2	0
EPI_ISL_519085	29623	0	20B-2	0
EPI_ISL_521939	29623	0	20B-2	0
EPI_ISL_520351	29623	0	20B-2	0
EPI_ISL_520354	29623	0	20B-2	0
EPI_ISL_521403	29623	0	20B-2	0
EPI_ISL_518508	29623	0	20B-2	0
EPI_ISL_564364	29623	0	20B-2	0
EPI_ISL_518930	29623	0	20B-2	0
EPI_ISL_520935	29623	0	20B-2	0
EPI_ISL_520822	29623	0	20B-2	0
EPI_ISL_522130	29623	0	20B-2	0
EPI_ISL_519283	29623	0	20B-2	0
EPI_ISL_518185	29623	0	20B-2	0
EPI_ISL_519032	29623	0	20B-2	0
EPI_ISL_519033	29623	0	20B-2	0
EPI_ISL_521557	29623	0	20B-2	0
EPI_ISL_521552	29623	0	20B-2	0
EPI_ISL_521553	29623	0	20B-2	0
EPI_ISL_520536	29623	0	20B-2	0
EPI_ISL_520538	29623	0	20B-2	0
EPI_ISL_519636	29623	0	20B-2	0
EPI_ISL_520909	29623	0	20B-2	0
EPI_ISL_564275	29623	0	20B-2	0
EPI_ISL_519632	29623	0	20B-2	0
EPI_ISL_564279	29623	0	20B-2	0
EPI_ISL_519040	29623	0	20B-2	0
EPI_ISL_519326	29623	0	20B-2	0
EPI_ISL_519535	29623	0	20B-2	0
EPI_ISL_551559	29623	116	20A-3	0
EPI_ISL_529737	29623	0	20B-2	0
EPI_ISL_578582	29623	218	20A-1	0
EPI_ISL_463482	29623	0	19B-3	0
EPI_ISL_434193	29623	0	19B-3	0
EPI_ISL_497503	29623	0	19B-3	0
EPI_ISL_549186	29623	1086	20A-1	0
EPI_ISL_423241	29623	7	20B-2	0
EPI_ISL_463953	29623	3	20A-3	0
EPI_ISL_545536	29623	516	20C-1	0
EPI_ISL_451710	29623	341	20A-3	0
EPI_ISL_468858	29623	20	20A-3	0
EPI_ISL_474849	29623	342	20A-3	0
EPI_ISL_573064	29623	0	20A-3	0
EPI_ISL_488572	29623	1	19A-4	0
EPI_ISL_510998	29623	780	20A-2	0
EPI_ISL_429629	29623	0	20C-1	0
EPI_ISL_426668	29623	716	20C-1	1
EPI_ISL_441478	29623	8	19A-1	0
EPI_ISL_450078	29623	172	20A-1	0
EPI_ISL_510755	29623	23	20B-2	0
EPI_ISL_497975	29623	0	19A-4	0
EPI_ISL_507197	29623	220	20A-3	0
EPI_ISL_493362	29623	0	20C-1	0
EPI_ISL_525344	29623	260	20A-2	0
EPI_ISL_474639	29623	274	20B-2	0
EPI_ISL_511290	29623	248	20B-2	0
EPI_ISL_439045	29623	183	19A-1	0
EPI_ISL_540400	29623	1100	20B-2	1
EPI_ISL_574921	29623	10	20A-3	1
EPI_ISL_492928	29623	0	20B-2	1
EPI_ISL_512229	29623	0	20C-1	0
EPI_ISL_457833	29623	0	20A-3	0
EPI_ISL_478417	29623	0	20A-3	0
EPI_ISL_459459	29623	0	20A-3	0
EPI_ISL_438574	29623	5	19A-1	0
EPI_ISL_456787	29623	104	20B-2	0
EPI_ISL_423454	29623	421	20B-2	0
EPI_ISL_491442	29623	0	20A-3	0
EPI_ISL_524377	29623	0	20C-1	0
EPI_ISL_538712	29623	1605	20C-1	0
EPI_ISL_445975	29623	498	20A-3	0
EPI_ISL_577725	29623	222	20B-2	0
EPI_ISL_566845	29623	0	20B-2	1
EPI_ISL_550804	29623	0	20B-2	0
EPI_ISL_549440	29623	0	20B-2	0
EPI_ISL_562659	29623	0	20B-2	0
EPI_ISL_572638	29623	473	20A-3	0
EPI_ISL_418800	29623	0	19A-1	0
EPI_ISL_483306	29623	966	20C-1	0
EPI_ISL_447499	29623	614	20A-3	0
EPI_ISL_469027	29623	0	20A-3	0
EPI_ISL_553003	29623	0	20B-1	0
EPI_ISL_461063	29623	0	20A-3	0
EPI_ISL_422668	29623	0	20A-3	0
EPI_ISL_523332	29623	0	20A-3	0
EPI_ISL_577147	29623	579	20A-3	0
EPI_ISL_464192	29623	108	19A-1	1
EPI_ISL_440651	29623	593	20B-2	0
EPI_ISL_421853	29623	509	20C-1	0
EPI_ISL_515236	29623	825	20C-1	0
EPI_ISL_530111	29623	0	19B-4	0
EPI_ISL_552939	29623	0	20B-2	0
EPI_ISL_471790	29623	1	20C-1	0
EPI_ISL_476903	29623	2	19B-3	0
EPI_ISL_567505	29623	0	20B-2	0
EPI_ISL_546101	29623	2	20C-1	0
EPI_ISL_535297	29623	231	20C-1	0
EPI_ISL_514495	29623	787	20B-2	0
EPI_ISL_432853	29623	350	20B-1	0
EPI_ISL_425631	29623	1	20A-1	0
EPI_ISL_447038	29623	0	20A-3	0
EPI_ISL_483912	29623	219	20B-2	1
EPI_ISL_481694	29623	0	20C-1	0
EPI_ISL_461087	29623	0	19A-1	0
EPI_ISL_523499	29623	0	19A-1	0
EPI_ISL_445367	29623	0	20B-2	0
EPI_ISL_428294	29623	0	20B-2	0
EPI_ISL_425373	29623	0	20B-2	0
EPI_ISL_571808	29623	0	20B-2	0
EPI_ISL_492048	29623	0	20B-2	0
EPI_ISL_542656	29623	473	20C-1	0
EPI_ISL_545393	29623	0	20B-2	0
EPI_ISL_458507	29623	120	20A-3	0
EPI_ISL_441649	29623	296	20A-3	0
EPI_ISL_484867	29623	1	20C-1	0
EPI_ISL_572574	29623	576	20A-3	0
EPI_ISL_468418	29623	1	20C-1	0
EPI_ISL_531424	29623	117	20B-2	0
EPI_ISL_466984	29623	171	20B-1	0
EPI_ISL_547396	29623	6	20B-2	0
EPI_ISL_446537	29623	788	20A-3	0
EPI_ISL_510811	29623	0	20C-1	0
EPI_ISL_422988	29623	0	19B-3	0
EPI_ISL_564531	29623	1	20B-2	0
EPI_ISL_442455	29623	267	20B-2	0
EPI_ISL_564818	29623	1	20B-2	0
EPI_ISL_565428	29623	1	20B-2	0
EPI_ISL_565429	29623	1	20B-2	0
EPI_ISL_537173	29623	136	20B-2	0
EPI_ISL_509852	29623	219	20A-3	1
EPI_ISL_532152	29623	0	20B-2	0
EPI_ISL_575784	29623	1	20A-3	0
EPI_ISL_445695	29623	625	20A-3	0
EPI_ISL_544871	29623	218	20C-1	1
EPI_ISL_491378	29623	2	20A-3	0
EPI_ISL_432266	29623	0	20A-3	1
EPI_ISL_538442	29623	0	20A-3	1
EPI_ISL_474150	29623	0	20A-3	1
EPI_ISL_432316	29623	0	20A-3	1
EPI_ISL_474242	29623	788	20B-2	0
EPI_ISL_452205	29623	0	19B-2	0
EPI_ISL_420630	29623	0	20C-1	0
EPI_ISL_426455	29623	0	20C-1	0
EPI_ISL_514658	29623	0	20C-1	0
EPI_ISL_420020	29623	0	20C-1	0
EPI_ISL_420021	29623	0	20C-1	0
EPI_ISL_495300	29623	0	20C-1	0
EPI_ISL_495299	29623	0	20C-1	0
EPI_ISL_420629	29623	0	20C-1	0
EPI_ISL_485825	29623	0	20C-1	0
EPI_ISL_526844	29623	0	20C-1	0
EPI_ISL_443094	29623	295	19A-4	0
EPI_ISL_508067	29623	2138	20A-2	0
EPI_ISL_406594	29623	0	19A-1	0
EPI_ISL_491220	29623	826	20A-3	0
EPI_ISL_497117	29623	0	20B-2	0
EPI_ISL_572222	29623	0	20B-2	1
EPI_ISL_437910	29623	0	19A-4	0
EPI_ISL_511045	29623	0	20B-2	0
EPI_ISL_450055	29623	0	20C-1	0
EPI_ISL_424245	29623	30	20C-1	0
EPI_ISL_538208	29623	2438	20A-3	0
EPI_ISL_558723	29623	285	20C-1	0
EPI_ISL_563260	29623	274	20B-2	0
EPI_ISL_510908	29623	460	20B-2	0
EPI_ISL_516918	29623	1101	20C-1	1
EPI_ISL_434466	29623	0	19A-4	0
EPI_ISL_560074	29623	0	20A-3	0
EPI_ISL_567300	29623	0	20A-3	0
EPI_ISL_568269	29623	0	20A-3	0
EPI_ISL_567047	29623	0	20A-3	0
EPI_ISL_567095	29623	0	20A-3	0
EPI_ISL_567148	29623	0	20A-3	0
EPI_ISL_576687	29623	0	20A-3	0
EPI_ISL_566911	29623	0	20A-3	0
EPI_ISL_440658	29623	274	20A-2	0
EPI_ISL_552586	29623	0	20B-1	0
EPI_ISL_489138	29623	0	20B-1	0
EPI_ISL_539529	29623	0	20A-3	0
EPI_ISL_563637	29623	233	20B-2	0
EPI_ISL_539350	29623	251	20A-3	0
EPI_ISL_507439	29623	231	20C-1	0
EPI_ISL_463172	29623	857	20C-1	0
EPI_ISL_440054	29623	297	19A-1	0
EPI_ISL_475177	29623	518	20C-1	1
EPI_ISL_547240	29623	218	20C-1	0
EPI_ISL_475836	29623	0	20B-2	0
EPI_ISL_550376	29623	1	20B-2	0
EPI_ISL_541175	29623	0	20C-1	0
EPI_ISL_442349	29623	330	19A-4	0
EPI_ISL_511212	29623	35	20A-3	0
EPI_ISL_495885	29623	0	20B-2	0
EPI_ISL_432002	29623	912	20A-3	0
EPI_ISL_532486	29623	771	20B-2	0
EPI_ISL_492896	29623	265	20B-2	0
EPI_ISL_475323	29623	2	19A-4	0
EPI_ISL_522873	29623	513	20B-2	0
EPI_ISL_425228	29623	104	20B-2	0
EPI_ISL_455853	29623	0	20B-2	0
EPI_ISL_565434	29623	0	20B-2	0
EPI_ISL_429752	29623	903	20A-3	0
EPI_ISL_446853	29623	1571	20B-2	0
EPI_ISL_432300	29623	0	20C-1	0
EPI_ISL_432219	29623	0	20C-1	0
EPI_ISL_432233	29623	0	20C-1	0
EPI_ISL_473052	29623	0	20C-1	0
EPI_ISL_432305	29623	0	20C-1	0
EPI_ISL_445601	29623	0	20C-1	0
EPI_ISL_445833	29623	0	20C-1	0
EPI_ISL_432309	29623	0	20C-1	0
EPI_ISL_530008	29623	0	19A-4	1
EPI_ISL_447327	29623	242	20A-1	0
EPI_ISL_425135	29623	1073	20A-3	0
EPI_ISL_568379	29623	271	20B-2	0
EPI_ISL_563002	29623	1	20B-2	0
EPI_ISL_565400	29623	0	20B-2	0
EPI_ISL_507017	29623	0	20A-1	1
EPI_ISL_512936	29623	0	20A-1	1
EPI_ISL_446831	29623	439	20C-1	0
EPI_ISL_489076	29623	1	20B-2	0
EPI_ISL_552132	29623	1	20A-3	0
EPI_ISL_514149	29623	309	20C-1	0
EPI_ISL_457535	29623	2	20A-3	0
EPI_ISL_447081	29623	279	20C-1	0
EPI_ISL_455715	29623	0	20B-2	0
EPI_ISL_550810	29623	292	20C-1	0
EPI_ISL_430065	29623	128	20B-2	0
EPI_ISL_454241	29623	0	20B-2	0
EPI_ISL_511098	29623	0	20B-2	0
EPI_ISL_511539	29623	0	20B-2	0
EPI_ISL_511097	29623	0	20B-2	0
EPI_ISL_451806	29623	3	20A-3	0
EPI_ISL_457737	29623	0	20B-2	0
EPI_ISL_489414	29623	295	19A-4	0
EPI_ISL_540820	29623	473	20B-2	1
EPI_ISL_446847	29623	269	20B-2	0
EPI_ISL_464910	29623	737	20A-2	0
EPI_ISL_508212	29623	0	20B-2	0
EPI_ISL_445293	29623	0	20A-3	0
EPI_ISL_448683	29623	1036	19A-1	0
EPI_ISL_495030	29623	0	20A-3	0
EPI_ISL_469871	29623	912	20B-2	0
EPI_ISL_575261	29623	2594	20A-1	0
EPI_ISL_552295	29623	538	20B-2	1
EPI_ISL_545167	29623	297	20C-1	0
EPI_ISL_484091	29623	7	19A-4	0
EPI_ISL_557334	29623	95	20B-2	0
EPI_ISL_473649	29623	218	20A-3	0
EPI_ISL_542709	29623	0	20C-1	0
EPI_ISL_558157	29623	647	20B-2	0
EPI_ISL_478411	29623	0	19A-4	0
EPI_ISL_486158	29623	2	20B-2	0
EPI_ISL_438630	29623	3	20B-2	0
EPI_ISL_563625	29623	1	20B-2	0
EPI_ISL_559273	29623	0	20B-2	0
EPI_ISL_555934	29623	0	20B-2	0
EPI_ISL_557617	29623	0	20B-2	0
EPI_ISL_556489	29623	0	20B-2	0
EPI_ISL_513599	29623	566	20A-3	0
EPI_ISL_482403	29623	0	20B-2	0
EPI_ISL_495490	29623	7	20A-1	0
EPI_ISL_514562	29623	4	20B-2	0
EPI_ISL_486455	29623	176	20A-3	0
EPI_ISL_555451	29623	797	20B-2	0
EPI_ISL_480044	29623	0	19B-2	0
EPI_ISL_475670	29623	0	20C-1	0
EPI_ISL_473638	29623	298	20A-3	0
EPI_ISL_578342	29623	0	20C-1	0
EPI_ISL_539342	29623	0	20B-2	0
EPI_ISL_456925	29623	296	20C-1	0
EPI_ISL_441287	29623	418	20B-2	0
EPI_ISL_468339	29623	267	20A-3	0
EPI_ISL_509876	29623	265	20C-1	0
EPI_ISL_489530	29623	2319	19A-1	0
EPI_ISL_445801	29623	2072	19A-1	0
EPI_ISL_553693	29623	0	20B-2	0
EPI_ISL_507482	29623	822	20C-1	0
EPI_ISL_514216	29623	0	20B-2	1
EPI_ISL_535232	29623	291	20A-3	0
EPI_ISL_526978	29623	0	20A-2	1
EPI_ISL_527002	29623	0	20A-2	1
EPI_ISL_527001	29623	0	20A-2	1
EPI_ISL_526975	29623	0	20A-2	1
EPI_ISL_526977	29623	0	20A-2	1
EPI_ISL_527004	29623	0	20A-2	1
EPI_ISL_527005	29623	0	20A-2	1
EPI_ISL_527000	29623	0	20A-2	1
EPI_ISL_527003	29623	0	20A-2	1
EPI_ISL_526984	29623	0	20A-2	1
EPI_ISL_526986	29623	0	20A-2	1
EPI_ISL_526980	29623	0	20A-2	1
EPI_ISL_526981	29623	0	20A-2	1
EPI_ISL_526983	29623	0	20A-2	1
EPI_ISL_526988	29623	0	20A-2	1
EPI_ISL_526989	29623	0	20A-2	1
EPI_ISL_526985	29623	0	20A-2	1
EPI_ISL_526976	29623	0	20A-2	1
EPI_ISL_526979	29623	0	20A-2	1
EPI_ISL_527006	29623	0	20A-2	1
EPI_ISL_527007	29623	0	20A-2	1
EPI_ISL_526987	29623	0	20A-2	1
EPI_ISL_526982	29623	0	20A-2	1
EPI_ISL_526993	29623	0	20A-2	1
EPI_ISL_526992	29623	0	20A-2	1
EPI_ISL_526991	29623	0	20A-2	1
EPI_ISL_526990	29623	0	20A-2	1
EPI_ISL_526997	29623	0	20A-2	1
EPI_ISL_526996	29623	0	20A-2	1
EPI_ISL_526995	29623	0	20A-2	1
EPI_ISL_526994	29623	0	20A-2	1
EPI_ISL_526999	29623	0	20A-2	1
EPI_ISL_526998	29623	0	20A-2	1
EPI_ISL_420088	29623	547	20A-3	1
EPI_ISL_475680	29623	0	20B-2	0
EPI_ISL_551517	29623	379	20B-1	0
EPI_ISL_546589	29623	518	20A-3	0
EPI_ISL_548036	29623	753	20B-1	0
EPI_ISL_540879	29623	1332	20A-3	0
EPI_ISL_551286	29623	420	20B-2	0
EPI_ISL_529678	29623	3	20B-2	0
EPI_ISL_481593	29623	0	20C-1	0
EPI_ISL_461572	29623	3	20B-2	0
EPI_ISL_572509	29623	819	20A-1	0
EPI_ISL_517597	29623	68	20B-2	0
EPI_ISL_449620	29623	2158	20B-2	0
EPI_ISL_577032	29623	1	20B-2	1
EPI_ISL_573292	29623	1	20B-2	1
EPI_ISL_442189	29623	297	20A-3	0
EPI_ISL_567531	29623	2	20A-1	0
EPI_ISL_425643	29623	295	20C-1	0
EPI_ISL_542636	29623	258	20C-1	0
EPI_ISL_438699	29623	3	20B-2	1
EPI_ISL_457663	29623	238	20B-1	0
EPI_ISL_466671	29623	218	20B-2	0
EPI_ISL_466147	29623	191	20B-2	0
EPI_ISL_462276	29623	1	19A-3	0
EPI_ISL_550646	29623	0	20B-2	0
EPI_ISL_566161	29623	0	20B-2	0
EPI_ISL_549740	29623	0	20B-2	0
EPI_ISL_549558	29623	0	20B-2	0
EPI_ISL_573581	29623	0	20B-2	0
EPI_ISL_575467	29623	0	20B-2	0
EPI_ISL_550665	29623	0	20B-2	0
EPI_ISL_508114	29623	2295	19B-3	1
EPI_ISL_559663	29623	2	20B-2	0
EPI_ISL_463682	29623	0	20A-1	0
EPI_ISL_511552	29623	1439	20A-3	0
EPI_ISL_524556	29623	1	19A-1	0
EPI_ISL_578088	29623	313	20C-1	0
EPI_ISL_501572	29623	0	20C-1	0
EPI_ISL_560843	29623	263	20C-1	0
EPI_ISL_459322	29623	513	20B-2	0
EPI_ISL_544296	29623	0	19B-1	0
EPI_ISL_451761	29623	159	20A-3	0
EPI_ISL_441905	29623	239	20B-1	0
EPI_ISL_489069	29623	654	20B-1	0
EPI_ISL_541481	29623	147	20A-3	0
EPI_ISL_573401	29623	1	20B-1	0
EPI_ISL_563415	29623	135	20B-2	0
EPI_ISL_418962	29623	29	20C-1	0
EPI_ISL_491169	29623	0	20B-2	0
EPI_ISL_491170	29623	0	20B-2	0
EPI_ISL_538485	29623	0	19A-3	0
EPI_ISL_565996	29623	1715	20C-1	0
EPI_ISL_495220	29623	186	20B-2	0
EPI_ISL_572553	29623	703	20B-2	0
EPI_ISL_555291	29623	0	20A-3	0
EPI_ISL_470860	29623	339	20A-3	0
EPI_ISL_530041	29623	0	20A-3	0
EPI_ISL_554524	29623	0	20B-2	0
EPI_ISL_556027	29623	0	20B-2	0
EPI_ISL_431949	29623	634	20B-2	0
EPI_ISL_532064	29623	69	20B-1	0
EPI_ISL_464212	29623	0	19A-2	0
EPI_ISL_450412	29623	0	19B-2	0
EPI_ISL_555292	29623	2	20B-1	0
EPI_ISL_427621	29623	0	20A-3	0
EPI_ISL_449361	29623	2029	20B-1	0
EPI_ISL_485859	29623	0	20C-1	0
EPI_ISL_479451	29623	1	20B-2	0
EPI_ISL_543884	29623	648	20C-1	0
EPI_ISL_561708	29623	738	20B-2	0
EPI_ISL_516998	29623	220	20B-2	0
EPI_ISL_433624	29623	1092	20A-3	0
EPI_ISL_509547	29623	259	20C-1	0
EPI_ISL_509537	29623	259	20C-1	0
EPI_ISL_509538	29623	259	20C-1	0
EPI_ISL_522282	29623	259	20C-1	0
EPI_ISL_523656	29623	514	20A-2	0
EPI_ISL_470253	29623	2055	20A-3	0
EPI_ISL_441968	29623	319	20B-2	0
EPI_ISL_571347	29623	0	20C-1	0
EPI_ISL_536171	29623	3	20C-1	0
EPI_ISL_442176	29623	296	20B-2	0
EPI_ISL_560202	29623	2	20A-3	0
EPI_ISL_547983	29623	1	20B-1	0
EPI_ISL_540848	29623	475	20A-3	0
EPI_ISL_472183	29623	1384	19A-4	0
EPI_ISL_436939	29623	4	20C-1	0
EPI_ISL_562132	29623	315	20B-2	0
EPI_ISL_569209	29623	1085	20A-1	0
EPI_ISL_474084	29623	194	20C-1	0
EPI_ISL_419311	29623	0	20B-2	0
EPI_ISL_577072	29623	0	20A-3	0
EPI_ISL_518385	29623	272	20B-2	0
EPI_ISL_539624	29623	0	20B-2	0
EPI_ISL_539670	29623	0	20B-2	0
EPI_ISL_494320	29623	914	20A-3	0
EPI_ISL_540112	29623	1	20B-2	0
EPI_ISL_495248	29623	158	20B-2	0
EPI_ISL_570459	29623	0	20C-1	0
EPI_ISL_483272	29623	0	20A-3	0
EPI_ISL_483418	29623	0	20A-3	0
EPI_ISL_453418	29623	2561	20A-3	0
EPI_ISL_530418	29623	0	20B-1	0
EPI_ISL_559781	29623	0	20B-1	0
EPI_ISL_530474	29623	0	20B-1	0
EPI_ISL_438777	29623	366	19B-4	0
EPI_ISL_566670	29623	289	20B-2	0
EPI_ISL_425982	29623	0	20A-3	0
EPI_ISL_464364	29623	38	20B-2	0
EPI_ISL_441289	29623	296	20B-2	0
EPI_ISL_487304	29623	0	20B-2	1
EPI_ISL_529342	29623	220	20B-2	0
EPI_ISL_430472	29623	138	20A-3	0
EPI_ISL_451811	29623	89	20A-3	0
EPI_ISL_542352	29623	117	20A-3	0
EPI_ISL_568890	29623	0	20A-2	0
EPI_ISL_543767	29623	0	20C-1	0
EPI_ISL_545848	29623	0	20C-1	0
EPI_ISL_542521	29623	0	20C-1	0
EPI_ISL_545898	29623	0	20C-1	0
EPI_ISL_470777	29623	0	20C-1	0
EPI_ISL_414504	29623	356	19A-1	0
EPI_ISL_525154	29623	175	20C-1	0
EPI_ISL_520119	29623	0	20B-2	0
EPI_ISL_456216	29623	808	19A-4	0
EPI_ISL_575233	29623	608	20C-1	0
EPI_ISL_424673	29623	0	19B-3	1
EPI_ISL_449065	29623	2	20A-3	0
EPI_ISL_550181	29623	0	20B-2	0
EPI_ISL_557402	29623	1049	20B-2	0
EPI_ISL_532230	29623	0	20A-3	0
EPI_ISL_564544	29623	0	20B-2	0
EPI_ISL_522285	29623	11	20C-1	0
EPI_ISL_543442	29623	1	20A-3	0
EPI_ISL_534895	29623	0	20B-2	0
EPI_ISL_556944	29623	1625	20B-2	0
EPI_ISL_441980	29623	557	20C-1	0
EPI_ISL_575127	29623	1	20A-2	0
EPI_ISL_565035	29623	0	20B-2	0
EPI_ISL_432646	29623	444	20B-2	0
EPI_ISL_541519	29623	4	20A-3	1
EPI_ISL_468273	29623	433	20B-2	0
EPI_ISL_542379	29623	116	20A-3	0
EPI_ISL_524988	29623	0	20A-3	0
EPI_ISL_543869	29623	1	20C-1	0
EPI_ISL_430714	29623	35	20A-3	0
EPI_ISL_572778	29623	2101	20A-3	0
EPI_ISL_425712	29623	1311	19A-1	0
EPI_ISL_460145	29623	0	20A-2	0
EPI_ISL_477972	29623	0	20A-3	0
EPI_ISL_544149	29623	508	20B-2	0
EPI_ISL_428481	29623	257	20B-2	0
EPI_ISL_458462	29623	295	20B-2	1
EPI_ISL_565894	29623	925	20C-1	0
EPI_ISL_554462	29623	0	20B-2	0
EPI_ISL_529500	29623	1044	20A-3	0
EPI_ISL_510735	29623	0	20B-2	0
EPI_ISL_561393	29623	1440	20B-2	0
EPI_ISL_498063	29623	238	20B-2	0
EPI_ISL_422092	29623	22	20B-2	0
EPI_ISL_441590	29623	203	20A-3	0
EPI_ISL_456326	29623	0	20C-1	0
EPI_ISL_478094	29623	0	20B-2	0
EPI_ISL_500448	29623	506	19B-4	0
EPI_ISL_436415	29623	30	19A-3	0
EPI_ISL_563946	29623	44	20B-2	0
EPI_ISL_510897	29623	337	20A-3	0
EPI_ISL_433506	29623	321	19B-4	0
EPI_ISL_465310	29623	1187	20B-2	0
EPI_ISL_456368	29623	558	19B-4	1
EPI_ISL_420385	29623	0	20A-3	0
EPI_ISL_563677	29623	3	20B-2	0
EPI_ISL_528510	29623	1164	20C-1	0
EPI_ISL_516417	29623	0	20B-2	0
EPI_ISL_542564	29623	322	20C-1	0
EPI_ISL_472556	29623	562	20A-3	0
EPI_ISL_469001	29623	185	19B-2	0
EPI_ISL_574301	29623	0	20C-1	0
EPI_ISL_550264	29623	1	20A-3	0
EPI_ISL_556461	29623	0	20B-2	0
EPI_ISL_576806	29623	0	20B-2	0
EPI_ISL_576007	29623	1	20A-3	0
EPI_ISL_454788	29623	0	19A-1	0
EPI_ISL_507150	29623	348	20B-2	1
EPI_ISL_429456	29623	499	20A-2	0
EPI_ISL_529284	29623	2268	20A-1	0
EPI_ISL_551072	29623	333	20B-2	0
EPI_ISL_447971	29623	4	20B-2	0
EPI_ISL_452928	29623	4	20B-2	0
EPI_ISL_479526	29623	9	20B-2	0
EPI_ISL_576356	29623	950	20A-3	0
EPI_ISL_540759	29623	267	20B-2	0
EPI_ISL_559944	29623	267	20B-2	0
EPI_ISL_559923	29623	267	20B-2	0
EPI_ISL_448364	29623	0	20B-2	0
EPI_ISL_512273	29623	0	20A-3	0
EPI_ISL_561099	29623	0	20B-2	0
EPI_ISL_507768	29623	950	20C-1	0
EPI_ISL_572280	29623	144	20C-1	0
EPI_ISL_545630	29623	5	20A-3	0
EPI_ISL_498086	29623	0	20B-2	0
EPI_ISL_559589	29623	4	20B-2	0
EPI_ISL_559497	29623	4	20B-2	0
EPI_ISL_452696	29623	218	19B-4	0
EPI_ISL_418911	29623	0	19B-3	0
EPI_ISL_472242	29623	297	20B-2	0
EPI_ISL_538081	29623	2266	20B-2	0
EPI_ISL_432857	29623	1071	20B-2	0
EPI_ISL_518014	29623	1	19A-3	0
EPI_ISL_495884	29623	0	20B-2	0
EPI_ISL_514607	29623	0	20A-1	0
EPI_ISL_578352	29623	218	20A-3	0
EPI_ISL_578355	29623	218	20A-3	0
EPI_ISL_578465	29623	218	20A-3	0
EPI_ISL_578513	29623	218	20A-3	0
EPI_ISL_578345	29623	218	20A-3	0
EPI_ISL_578442	29623	218	20A-3	0
EPI_ISL_578443	29623	218	20A-3	0
EPI_ISL_426564	29623	0	20A-1	0
EPI_ISL_449355	29623	2751	19A-4	0
EPI_ISL_557861	29623	0	20B-1	0
EPI_ISL_553454	29623	1337	19B-2	0
EPI_ISL_555011	29623	303	19A-4	0
EPI_ISL_578514	29623	218	20C-1	0
EPI_ISL_440565	29623	295	20C-1	0
EPI_ISL_453208	29623	1706	20A-3	0
EPI_ISL_486534	29623	78	20B-2	1
EPI_ISL_425632	29623	0	19A-1	0
EPI_ISL_543611	29623	1	20C-1	0
EPI_ISL_562637	29623	1	20B-2	0
EPI_ISL_508281	29623	0	20B-2	0
EPI_ISL_447105	29623	0	20C-1	0
EPI_ISL_540156	29623	2782	20B-2	0
EPI_ISL_541067	29623	1735	20A-3	0
EPI_ISL_433666	29623	0	20B-2	0
EPI_ISL_436526	29623	1936	20C-1	0
EPI_ISL_449623	29623	295	20B-2	0
EPI_ISL_439806	29623	295	20B-2	0
EPI_ISL_472338	29623	1029	20B-2	0
EPI_ISL_464642	29623	1011	19A-4	0
EPI_ISL_435474	29623	0	20A-3	0
EPI_ISL_522144	29623	2	20B-2	0
EPI_ISL_424116	29623	261	19A-1	0
EPI_ISL_530058	29623	0	20A-3	0
EPI_ISL_530057	29623	0	20A-3	0
EPI_ISL_414587	29623	11	20A-3	0
EPI_ISL_565491	29623	30	20B-2	0
EPI_ISL_511584	29623	0	20A-2	0
EPI_ISL_512097	29623	201	20A-3	1
EPI_ISL_512105	29623	201	20A-3	1
EPI_ISL_514921	29623	0	20C-1	0
EPI_ISL_424630	29623	0	20B-2	0
EPI_ISL_463924	29623	552	20C-1	0
EPI_ISL_419778	29623	60	20C-1	0
EPI_ISL_537822	29623	41	19B-4	0
EPI_ISL_489589	29623	592	19B-2	0
EPI_ISL_490852	29623	0	20B-2	0
EPI_ISL_541782	29623	1	20B-2	0
EPI_ISL_507868	29623	262	20C-1	0
EPI_ISL_432624	29623	242	20A-3	0
EPI_ISL_444878	29623	2482	20A-2	0
EPI_ISL_488025	29623	1	20C-1	0
EPI_ISL_479038	29623	0	20B-2	0
EPI_ISL_440941	29623	298	20B-2	0
